1,2,42,41,48,8
1,8,7,15,16,9
1,9,10,11,3,2
2,3,4,44,43,42
3,11,12,13,5,4
4,5,6,46,45,44
5,13,14,15,7,6
6,7,8,48,47,46
9,16,24,17,18,10
10,18,19,20,12,11
12,20,21,22,14,13
14,22,23,24,16,15
17,24,23,31,32,25
17,25,26,27,19,18
19,27,28,29,21,20
21,29,30,31,23,22
25,32,40,33,34,26
26,34,35,36,28,27
28,36,37,38,30,29
30,38,39,40,32,31
33,40,39,47,48,41
33,41,42,43,35,34
35,43,44,45,37,36
37,45,46,47,39,38
